Number of Trees,Mean Train Accuracy,Stdev Train Accuracy,Mean Test Accuracy,Stdev Test Accuracy
20,0.651,0.005,0.618,0.004
40,0.649,0.004,0.618,0.003
60,0.648,0.003,0.619,0.002
80,0.65,0.002,0.62,0.003
100,0.649,0.003,0.619,0.003
200,0.651,0.003,0.619,0.002
300,0.65,0.001,0.62,0.002
400,0.652,0.001,0.619,0.002
500,0.652,0.001,0.62,0.001
